text,label,target,language,rationale
നിനക്കൊക്കെ ചത്തൂടെ മൈരേ ആണിനെ വ്യഭിചരിക്കുന്ന ആണുങ്ങൾ അയ്യേ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory and offensive language directed towards a specific group of people. The use of such language promotes discrimination and intolerance, which goes against the principles of respect and acceptance. It is important to communicate in a respectful and constructive manner, even when expressing disagreement or disapproval."
Gay support cheyyunnad kond aaan naattil cheriya kuttikale polum avar seduce cheyyunnad Ith ninthe swandam veettilulla aale aan avanmaar seduce cheyyunnad engl nee mindaathirikko Enthe cheruppa kaalathu njan anubhavapettadaan Adond ithine njan orikkalum spprt cheyyathilla,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it contains derogatory and discriminatory language towards individuals who identify as gay. The comment suggests that gay individuals are trying to seduce young children and promotes negative stereotypes about the LGBTQ+ community. Such language promotes hate, intolerance, and discrimination towards a specific group of people based on their sexual orientation. It is important to promote respect, understanding, and acceptance towards all individuals, regardless of their sexual orientation."
നിങ്ങൾ ഗേ ആയതുകൊണ്ടാണോ അതിനെ സപ്പോർട്ട് ചെയ്യുന്നത് ഒരു മതത്തിലും ഇസ്‌ലാം ക്രിസ്ത്യൻ ഹിന്ദു അതൊരിക്കലും പറയുകയില്ല So please dont promote homosexuality for gods sake.,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it expresses a negative and discriminatory attitude towards individuals who identify as LGBTQ+. It implies that supporting LGBTQ+ individuals goes against religious beliefs and suggests that promoting homosexuality is something that goes against the will of a higher power. This type of language can contribute to a harmful and intolerant environment for LGBTQ+ individuals, perpetuating stigma and discrimination based on sexual orientation. It is important to promote understanding, acceptance, and respect for all individuals, regardless of their sexual orientation."
നിങ്ങൾ ഗേ ആയതുകൊണ്ടാണോ അതിനെ സപ്പോർട്ട് ചെയ്യുന്നത്,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it appears to be mocking or belittling the individuals being addressed. The use of the phrase ""നിങ്ങൾ ഗേ ആയതുകൊണ്ടാണോ"" implies a derogatory tone towards the recipients, which can be considered as hateful language. Additionally, the comment does not offer any constructive criticism or feedback, but instead seems to be aimed at provoking or insulting the recipients. It is important to communicate respectfully and constructively, even when expressing disagreement or disapproval."
kundan polayadi makkal andi chethi kalayanam,Homophobic/Transphobic,Homophobic-Threatening,Manglish,"This comment is labeled as 'Homophobic' because it contains derogatory language and is directed towards a specific group of people. The use of derogatory language and the negative connotation towards a particular group is considered hateful and discriminatory. Such comments have the potential to incite division, spread negativity, and harm individuals belonging to the targeted group. It is important to promote respectful and inclusive communication, and comments like these do not align with those values."
Make up illankil pennine aanu pennu aayit thonnuka aaninu pennu aaknel makeup aavshyamanu,Homophobic/Transphobic,Transphobic-derogation,Manglish,"This comment is labeled as 'Transphobic' because it contains derogatory language and promotes harmful stereotypes about women. The comment implies that women need to wear makeup in order to be considered attractive or desirable, which is not only untrue but also perpetuates harmful beauty standards. Additionally, the comment uses language that objectifies and devalues women, suggesting that a woman's worth is tied to her appearance. This kind of language contributes to a culture of sexism and discrimination against women."
ഒരു ലോഡ് പുച്ഛം. ദൈവത്തിന്റെ സ്വന്തം നാട് കുണ്ടന്മാരുടെ സ്വന്തം നാട് ആവു ന്ന കാലം അധികം വിദുരമല്ല,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory language and expresses contempt towards a certain group of people based on their nationality. It uses offensive terms to describe individuals from a particular region and implies that they are inferior or unworthy. Such language promotes division, discrimination, and prejudice, which are harmful and unacceptable. It is important to promote respectful and inclusive communication that does not target or demean any group of people based on their background."
നശിച്ച ജന്തുക്കൾ നാണമില്ലേ ഇവർക്ക് പടച്ചോൻ നമ്മെ ഏവരെയും കാത്ത് രക്ഷിക്കട്ടെ അല്ലാഹുവേ ഇതിന്റെ പേരിൽ ഞങ്ങളെ ശിക്ഷിക്കല്ലേ നാഥാ അവർക്ക് മനസിലാക്കാനുള്ള ബോധം കൊടുക്ക് റബ്ബേ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains language that promotes violence and harm towards a specific group of individuals (in this case, animals). The comment suggests that those who have died deserve no respect or compassion, and it expresses a desire to harm and kill them. Such language promotes a mindset of cruelty and lack of empathy, which is not conducive to healthy and respectful discourse. It is important to promote kindness and understanding towards all beings, regardless of their species."
കുഞ്ഞു ജനിക്കുമ്പോൾ ഗേ ആണെങ്കിൽ അതിനെ കൊല്ലണം എന്തിനാ അത് ജീവിക്കുന്നത്,Homophobic/Transphobic,Homophobic-Threatening,Malayalam,"This comment is labeled as 'Homophobic' because it contains language promoting violence against a specific group of people based on their gender identity. Advocating for killing individuals based on their gender identity is discriminatory, harmful, and goes against the principles of equality and respect for all individuals. Such language perpetuates hate and intolerance towards the LGBTQ+ community, and it is important to condemn and address such harmful rhetoric."
എല്ലാ കുണ്ടന്മാരുടെയും അണ്ടി അറുത്തെടുത്തു നാട് കടത്തു,Homophobic/Transphobic,Homophobic-Threatening,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory language and promotes violence against a specific group of people based on their gender identity. Using derogatory terms and advocating for harm or discrimination towards any group of individuals is considered hateful and goes against principles of respect and equality. It is important to promote understanding, acceptance, and kindness towards all individuals, regardless of their identities."
ആണ്പിള്ളേര് പൂറിൽ അടിക്കും നിന്നെ പോലെ ഇതുപോലുള്ള കുണ്ടന്മാര് വായിലും എടുക്കും ആണും പെണ്ണും കെട്ട ജന്മങ്ങൾ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory and offensive language towards a specific group of people based on their gender. The comment promotes violence and objectification, which is harmful and disrespectful. It spreads negativity and discrimination, creating a hostile and toxic environment. It is important to promote respectful and inclusive language towards all individuals, regardless of their gender."
ഇത് ഒരു വൈകല്യം ആണ് അവർ ജീവിക്കട്ടെ അവർക്ക് ഭയം ആണ് ഞൻ ആണായിട്ടില്ലേ അല്ലങ്കിൽ പെണ്ണ് ആയിട്ടില്ലേ എന്നുള്ള അത് ഉറപ്പിക്കാൻ വേണ്ടിയാണ് ഈ വെച്ച് കെട്ടൽ അത് സാദാരണക്കാർക്ക് അത് അലോഷകരമായി തോന്നും,Homophobic/Transphobic,Transphobic-derogation,Malayalam,"This comment is labeled as 'Transphobic' because it contains discriminatory and derogatory language towards a specific group of people based on their gender. The comment implies that individuals who do not conform to traditional gender roles should be feared and judged, which promotes intolerance and prejudice. Such language can contribute to a hostile and divisive environment, making it important to address and discourage such hateful attitudes."
ഈ അസുഖക്കാരെ കാസറഗോഡ് ആകരുടെ കയ്യിൽ ഒരു മരുന്നുണ്ട് ഇവന്മാരെ ഒക്കെ മുള്ളുമരത്തിൽ കയറ്റി ഇറക്കും അതും തുണി ഇല്ലാതെ,Homophobic/Transphobic,Homophobic-Threatening,Malayalam,"This comment is labeled as 'Homophobic' because it promotes violence and harm towards individuals who are suffering from a particular illness. Encouraging the act of throwing sick individuals into a thorn bush with medicine is not only harmful but also promotes discrimination and dehumanization. Such language incites hatred and violence towards a specific group of people based on their health condition, which goes against principles of respect, empathy, and compassion. It is important to promote understanding, support, and kindness towards those who are unwell, rather than promoting harmful and discriminatory actions."
കേരളത്തെ പറയിപ്പിക്കാനിറങ്ങിയ അടുത്ത രണ്ട് ശവം നാറികൾ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory and disrespectful language towards the people of Kerala. The use of such language and tone indicates a lack of respect and empathy towards individuals from a specific region, which can incite negativity and division among people. It is important to promote mutual understanding and respect among different communities, rather than resorting to hateful language and stereotypes."
ഇത് ജന്മനാ ആയതല്ലല്ലോ ആകിയതല്ലേ ജനിച്ചപ്പോൾ ഒന്നെങ്കിൽ പെണ്ണോ ആണോ ആണല്ലോ ആണും പെണ്ണുമല്ലാതെ ഒരാളും ജനിച്ചിട്ടില്ല അങ്ങനെ ജനിച്ച ചരിത്രവുമില്ല എവിടെയും ഇവരിൽ തന്നെ പറയുന്നത് കേൾകാം ആണായിരുന്നു പിന്നീട് തന്റെ മനസ്സ് പെണ്ണിലേക്ക് ആകർഷിച്ചു അങ്ങനെ അങ്ങനെ വളർന്നു വളർന്നു അത് വലതുതായി അത് പെണ്ണിലേക്ക് പോയി അപ്പോൾ തെറ്റുകാർ ഇവരുടെ രക്ഷിതാക്കൾ ആണ്,Homophobic/Transphobic,Transphobic-derogation,Malayalam,"This comment is labeled as 'Transphobic' because it promotes harmful and discriminatory beliefs about gender. It implies that one's gender identity is determined at birth and suggests that individuals who do not conform to traditional gender roles are somehow wrong or unnatural. This type of thinking can contribute to prejudice, discrimination, and harm towards individuals who do not fit societal expectations of gender. It is important to promote acceptance, understanding, and respect for all gender identities."
പുരുഷന്മാരെ പോലും വെറുതെ വിടാത്ത കുണ്ടൻ തായോളികൾ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory and disrespectful language towards a specific gender group. Referring to women in a derogatory and offensive manner based on their gender is discriminatory and perpetuates harmful stereotypes. Such language contributes to a negative and hostile environment, promoting disrespect and division among individuals. It is important to promote respectful and inclusive language towards all individuals, regardless of their gender."
ഇത് നമ്മുടെ സംസ്ക്കാരമല്ല അതുമല്ല എല്ലാ മതങ്ങളും ശക്തമായി എതിർക്കുന്ന ഒന്നാണ് സ്വവർഗ്ഗ രതി പിന്നെ ഒന്ന് ചോദിച്ചോട്ടെ നിങ്ങളുടെ വീട്ടിലെ ഒരു ആൺകുട്ടി ഇങ്ങനെ ചെയ്താൽ അംഗീകരിക്കുമോ ഒരിക്കലും ഇല്ല എന്ന് ഞാൻ തീർത്തുപറയാം കാരണം ഇത് കേരളത്തിലെ രണ്ടാമത്തെ ഗേ വിവാഹമാണ് രണ്ട് വിവാഹവും ഇവരുടെ കുടുംബം ശക്തമായി എതിർത്തതാണ് ഇവർ സ്വാന്തം വീട്ടിൽ നിന്നും പുറത്താണ് നിങ്ങളുടെ വീട്ടിലാണ് ഇങ്ങനെയെങ്കിലും എങ്ങനെ നിങ്ങൾ പുറത്തിറങ്ങി നടക്കും ആളുകൾ കളിയാക്കി ചിരിക്കില്ലേ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it promotes discrimination and intolerance towards individuals based on their personal beliefs and practices. It expresses a negative and prejudiced attitude towards a specific group of people, implying that their actions are not acceptable and should be opposed. Such language can incite division, animosity, and harm towards others, which goes against the principles of respect, understanding, and acceptance of diversity."
ഇത് പോലെ കുറെ തായോളികൾ ഉണ്ട് സമൂഹത്തിൽ കയ്യിൽ കിട്ടിയ ഒരു ദാക്ഷണ്യവും കാണികണ്ട അടിച്ച് ചെവിക്കല്ല് പൊട്ടിച്ചോണം ആണും പെണ്ണും കെട്ട ശവങ്ങൾ,Homophobic/Transphobic,Homophobic-Threatening,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory and disrespectful language towards a specific group of people (women in this case). The comment implies violence and objectification towards women, which promotes harmful stereotypes and discrimination. It is important to promote respectful and inclusive language towards all individuals, regardless of gender or any other characteristic."
ee coment itta neeyum kudan aanu kundan mare paranapo ninak vedhanicho kundan shaga sangikal,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it contains derogatory language and insults towards the person being addressed. The use of offensive language and personal attacks demonstrates a lack of respect and civility towards others. Such language is harmful and creates a negative and hostile environment. It is important to communicate respectfully and constructively, even when expressing disagreement or frustration."
Kundan pannu thayolikalea anungaludea vela kaalayanayitt poyi chathavantta andi chapp,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it contains derogatory language and expresses a strong negative sentiment towards a specific individual. The use of phrases like ""chathavantta andi chapp"" is disrespectful and demonstrates a lack of empathy or understanding towards the person being targeted. It is important to communicate opinions and disagreements in a respectful and constructive manner, rather than resorting to hateful language and personal attacks."
ഈ കുണ്ടന്മാരെ കൊണ്ട് മര്യാദക്ക് ബസിൽ പോലും കയറാൻ പറ്റുന്നില്ല,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory language and expresses a violent sentiment towards a specific group of people. The use of offensive language and the suggestion of physically harming individuals based on their identity or characteristics is not conducive to respectful and constructive discourse. It promotes discrimination and intolerance, which goes against principles of equality and respect for all individuals."
Saree udutha purushanmaar,Homophobic/Transphobic,Transphobic-derogation,Manglish,"This comment is labeled as 'Transphobic' because it contains derogatory language towards a specific group of people based on their gender. The use of the phrase ""Saree udutha purushanmaar"" is demeaning and disrespectful towards men who wear sarees. It promotes discrimination and intolerance towards individuals who may choose to express themselves in a way that does not conform to traditional gender norms. It is important to promote inclusivity and respect for all individuals, regardless of their choices in clothing or appearance."
Sahanam thanneyaanu islam Ennal ithupole naanam ketta oru santhathi undaayal athine kollan madikkilla ennanu nan paranjathinte artham Allathe kollan vendeettalla Ente makan ingane aavathirikkan nan ente rabbinte margam avanu paranju kodukkum,Homophobic/Transphobic,Homophobic-Threatening,Manglish,"This comment is labeled as 'Homophobic' because it contains derogatory and discriminatory language towards a specific religious group (Islam). The comment implies a negative attitude towards followers of Islam and suggests that they should not be spared or shown mercy. Such language promotes intolerance, discrimination, and potentially incites violence towards a particular group based on their religious beliefs. It is important to promote understanding, respect, and acceptance of all individuals regardless of their religious background."
ഒരു കൗൺസലിങ് അങ്ങ് കൊടുക്കും ഇവര് ട്രാൻസ്ജെൻഡർസിനെ പോലെ അല്ലല്ലോ അവർക്ക് ശരീരത്തിൽ പല മാറ്റങ്ങളും സംഭവിക്കും അങ്ങനെ ഉണ്ടാകുന്നതാണ് എന്ന് പറയാം ഇത് എന്തൂട്ട് അഹങ്കാരം അല്ലാണ്ട് ആരും വല്യ ന്യായീകരിക്കാൻ വരേണ്ട,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it expresses discriminatory and prejudiced views towards transgender individuals. It suggests that being transgender is a result of arrogance or a desire for attention, which is not only false but also perpetuates harmful stereotypes and promotes intolerance towards a marginalized group. Such language can contribute to the stigmatization and discrimination faced by transgender individuals in society. It is important to promote understanding, empathy, and respect towards all individuals, regardless of their gender identity."
മാർപാപ്പാ കുണ്ടൻ ആയിരിക്കും അതാ പുള്ളി അനുകൂലിച്ചത് ഹി ഹി ഹിയിനിയിപ്പോ ചെയുകത്താൻ പാവമുവാണ്എന്ന കുടി പറയു അപ്പൊ പിന്നെ പാപങ്ങൾ ഉണ്ടാകില്ലലോ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory and disrespectful language towards a specific individual, in this case, a religious figure. The use of offensive language and mockery towards someone's beliefs or identity is considered hateful and can incite negativity and division. It is important to promote respectful and constructive dialogue, even when expressing differing opinions or criticisms."
കളിയാക്കുക തന്നെ വേണം ഇതിനോട് നിനക്ക് പറ്റും ഞങ്ങൾക്ക് യോജിപ്പ് ഇല്ല അണ്ണാച്ചി തള്ളേ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains language that is derogatory and disrespectful towards the recipient. The use of words like ""കളിയാക്കുക"" and ""തള്ളേ"" are intended to belittle and insult the person being addressed. Such language promotes negativity and animosity, rather than constructive dialogue or understanding. It is important to communicate respectfully and constructively, even when expressing disagreement or frustration."
Enna ninte thanthaye naale kundan adikku kunda,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it includes a threat of physical violence (specifically, hitting someone with a stick). Making threats of violence, even in jest or in a non-serious context, is harmful and promotes a culture of aggression and intimidation. It is important to communicate in a respectful and non-violent manner, and threats of physical harm have no place in civil discourse."
janikkumbo ullath vech jeevichudee allathe kopraayam kaattanoo BLOODY FOOL,Homophobic/Transphobic,Transphobic-derogation,Manglish,"This comment is labeled as 'Transphobic' because it contains derogatory language and insults directed towards the individual being addressed. The use of phrases like ""BLOODY FOOL"" is demeaning and disrespectful, and it shows a lack of empathy and understanding towards the person being spoken to. Such language contributes to a negative and hostile online environment, and goes against the principles of respectful communication. It is important to express opinions and disagreements in a constructive and respectful manner, rather than resorting to insults and personal attacks."
