H/T,Category,CS
janikkumbo ullath vech jeevichudee allathe kopraayam kaattanoo BLOODY FOOL  ഇത് സമൂഹത്തിൽ വലിയ അസ്ഥിരത സൃഷ്ടിക്കുന്നു.,Homophobic-Derogation,ഒരു വ്യക്തിയെയും അവന്റെ ഇഷ്ടങ്ങൾ കൊണ്ടു കളിയാക്കുന്നത് ശരിയല്ല. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്.
Gay support cheyyunnad kond aaan naattil cheriya kuttikale polum avar seduce cheyyunnad Ith ninthe swandam veettilulla aale aan avanmaar seduce cheyyunnad engl nee mindaathirikko Enthe cheruppa kaalathu njan anubhavapettadaan Adond ithine njan orikkalum spprt cheyyathilla  Ee pole chinthakal oralkku vishamavum pediyum aakum.,Homophobic-Derogation,"Pakshe, ithu pole chinthakal namukku oru samadhanam tharumenn thonnunnilla. ithine kurichu namukku serious aayi chinthikkam."
kundanmaarku enthum aakalo  ഇതിന്റെ പിന്നിൽ വലിയ പ്രശ്നങ്ങൾ അടങ്ങിയിരിക്കുന്നു.,Homophobic-Derogation,അവരുമായി സഹവാസം നമുക്ക് നല്ലൊരു സമൂഹം സൃഷ്ടിക്കാനാണ് വഴി. ithine kurichu namukku serious aayi chinthikkam.
എന്തായാലും കോലം കെട്ടു അറപ്പ് തന്നെ ആണ് 90 ശതമാനം വെറും വെടക്കുകൾ മദ്യപിക്കുന്നവർ  Ith pole views vechu mathi aayittu samsarikkan pattilla.,Homophobic-Derogation,"Oru personinte swabhavangal orupadu kaaryam parayunnu, ath respect cheyyanam. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്."
ആണ് പെണ്ണിനെ പിടിക്കുന്ന പോലെ ആണോ ആണ് ആണിനെ പിടിക്കുന്നത്  ഇവരുടെ പ്രവൃത്തികൾ മനുഷ്യത്വത്തെ തകർക്കുന്നു.,Homophobic-Derogation,ഒരു വ്യക്തിയെയും അവന്റെ ഇഷ്ടങ്ങൾ കൊണ്ടു കളിയാക്കുന്നത് ശരിയല്ല. ithaanu oru responsible approach.
ഇന്ന് ആണ്കുട്ടികളും സുരക്ഷിതർ ഒന്നും അല്ലെടോ  Ithu okke kandal manassil thonniya oru negative vibe aanu.,Homophobic-Derogation,"Oru personinte swabhavangal orupadu kaaryam parayunnu, ath respect cheyyanam. ithine kurichu namukku serious aayi chinthikkam."
ഇത് ജന്മനാ ആയതല്ലല്ലോ ആകിയതല്ലേ ജനിച്ചപ്പോൾ ഒന്നെങ്കിൽ പെണ്ണോ ആണോ ആണല്ലോ ആണും പെണ്ണുമല്ലാതെ ഒരാളും ജനിച്ചിട്ടില്ല അങ്ങനെ ജനിച്ച ചരിത്രവുമില്ല എവിടെയും ഇവരിൽ തന്നെ പറയുന്നത് കേൾകാം ആണായിരുന്നു പിന്നീട് തന്റെ മനസ്സ് പെണ്ണിലേക്ക് ആകർഷിച്ചു അങ്ങനെ അങ്ങനെ വളർന്നു വളർന്നു അത് വലതുതായി അത് പെണ്ണിലേക്ക് പോയി അപ്പോൾ തെറ്റുകാർ ഇവരുടെ രക്ഷിതാക്കൾ ആണ്  ഇവരുടെ പ്രവൃത്തികൾ മനുഷ്യത്വത്തെ തകർക്കുന്നു.,Homophobic-Derogation,മനുഷ്യരെ മനസ്സിലാക്കാനും മാന്യമായി സമീപിക്കാനും നമ്മളെല്ലാവർക്കും ബാധ്യതയുണ്ട്. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
ഇതും പൊക്കിപിടിച്ചു നടക്കുന്ന തെക്കൻ കുണ്ടന്മാരോട് ഓട് മലരേ കുണ്ടൻതോട് വഴി  Ee kaaryangal manushyane pole parayunnathalla.,Homophobic-Derogation,Namukku ella verum oru manushyan aanu ennathil ninnu kaananam. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
നശിച്ച ജന്തുക്കൾ നാണമില്ലേ ഇവർക്ക് പടച്ചോൻ നമ്മെ ഏവരെയും കാത്ത് രക്ഷിക്കട്ടെ അല്ലാഹുവേ ഇതിന്റെ പേരിൽ ഞങ്ങളെ ശിക്ഷിക്കല്ലേ നാഥാ അവർക്ക് മനസിലാക്കാനുള്ള ബോധം കൊടുക്ക് റബ്ബേ  ഈ നിലപാട് സാംസ്കാരിക മൂല്യങ്ങൾക്കെതിരെ പോകുന്നു.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. ithine kurichu namukku serious aayi chinthikkam.
മാർപാപ്പാ കുണ്ടൻ ആയിരിക്കും അതാ പുള്ളി അനുകൂലിച്ചത് ഹി ഹി ഹിയിനിയിപ്പോ ചെയുകത്താൻ പാവമുവാണ്എന്ന കുടി പറയു അപ്പൊ പിന്നെ പാപങ്ങൾ ഉണ്ടാകില്ലലോ  Ee kaaryangal manushyane pole parayunnathalla.,Homophobic-Derogation,Namukku ella verum oru manushyan aanu ennathil ninnu kaananam. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്.
കൊല്ലുക ഇത് പോലെ കുറെ തായോളികൾ ഉണ്ട് സമൂഹത്തിൽ കയ്യിൽ കിട്ടിയ ഒരു ദാക്ഷണ്യവും കാണികണ്ട അടിച്ച് ചെവിക്കല്ല് പൊട്ടിച്ചോണം ആണും പെണ്ണും കെട്ട ശവങ്ങൾ  ഈ നിലപാട് സാംസ്കാരിക മൂല്യങ്ങൾക്കെതിരെ പോകുന്നു.,Homophobic-Derogation,അവരുമായി സഹവാസം നമുക്ക് നല്ലൊരു സമൂഹം സൃഷ്ടിക്കാനാണ് വഴി. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
ഈ വർഗ്ഗത്തെ പിടിച്ച് കല്ലെറിഞ്ഞു കൊല്ലലാണ് ഇസ്ലാം മതം വിധിച്ചിട്ടുള്ളത്  Ee mathiri nadappukal society ne hurt cheyyunnu.,Homophobic-Derogation,"Oru personinte swabhavangal orupadu kaaryam parayunnu, ath respect cheyyanam. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ."
kundan polayadi makkal andi chethi kalayanam  ഇത് സമൂഹത്തിൽ വലിയ അസ്ഥിരത സൃഷ്ടിക്കുന്നു.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. ithaanu oru responsible approach.
Saree udutha purushanmaar  Ee pole chinthakal oralkku vishamavum pediyum aakum.,Homophobic-Derogation,Namukku ella verum oru manushyan aanu ennathil ninnu kaananam. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
കൊറേ നായിന്റെ മക്കൾ ആണും പെണ്ണും കേട്ട ഇനം  നമുക്ക് ഇങ്ങനെയുള്ള പ്രവൃത്തികൾ സഹിക്കാനാവില്ല.,Homophobic-Derogation,അവരുമായി സഹവാസം നമുക്ക് നല്ലൊരു സമൂഹം സൃഷ്ടിക്കാനാണ് വഴി. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
പ്രകൃതിയുടെ നിയമം മാത്രം നിലനില്‍ക്കുന്ന കാലത്താണ് സ്വവര്‍ഗ്ഗരതിയെന്ന മാരകപാപം സോദോമിലും ഗൊമോറായിലും വ്യാപകമായത് ദൈവദൂതന്മാരോടുപോലും ഈ മ്ലേച്ഛത പ്രവര്‍ത്തിക്കാന്‍ ഈ സമൂഹം തുനിഞ്ഞത് ഉല്‍പത്തിയുടെ പുസ്തകത്തിലെ പത്തൊന്‍പതാം അദ്ധ്യായത്തില്‍ വ്യക്തമായി കാണാൻ സാധിക്കും പ്രകൃതിവിരുദ്ധ പാപങ്ങളില്‍ മുഴുകിയ ജനതയ്ക്കുമേല്‍ ദൈവം‌ അയച്ച മഹാമാരിയും പിന്നീടുള്ള വചനങ്ങളില്‍ കാണുന്നു സോദോംഗൊമോറാ ദേശങ്ങളെ അഗ്നിയും ഗന്ധകവും ഇറക്കി വെണ്ണീറാക്കിയത്തിനുശേഷം നൂറ്റാണ്ടുകള്‍ കഴിഞ്ഞായിരുന്നു മോശയിലൂടെ അവിടുന്നു നിയമങ്ങള്‍ നല്‍കിയത് നിയമം ലിഖിതരൂപത്തില്‍ ലഭിക്കാതിരുന്ന നാളുകളില്‍ ദൈവത്തിന്റെ കോപം ഈ പാപത്തിനുമേല്‍ ജ്വലിച്ചുവെങ്കില്‍ എല്ലാ അറിവും ലഭിച്ചതിനുശേഷം ചെയ്തുകൂട്ടുന്ന മ്ലേച്ഛതകള്‍ക്കു ന്യായീകരണം ഇല്ലെന്നുമാത്രമല്ല ശിക്ഷ വൈകുകയുമില്ല ഭൂമിയുള്ളിടത്തോളംകാലം ഭൂവാസികള്‍ക്കെല്ലാം ദൃഷ്ടാന്തമാക്കി സോദോമിനെ നിലനിര്‍ത്തിയിരിക്കുന്നതും ഒരു താക്കീതായി കാണണം എന്നാൽ ദൈവം ഈ തലമുറക്ക് ഒരുക്കിയിട്ടുള്ള ശിക്ഷ സോദോമിനേക്കാൾ അതികഠിനമായിരിക്കും ഇത് ദൈവത്തിന്റെ പ്രവർത്തികൾ കണ്ണുകൾ കൊണ്ട് കാണേണ്ട സമയം  Ee mathiri nadappukal society ne hurt cheyyunnu.,Homophobic-Derogation,Understanding and respect mathram aanu nalla society undakunna vazhi. ithine kurichu namukku serious aayi chinthikkam.
ഞാൻ ഹിന്ദു അല്ല എനിക്ക് ഖുര്ഹാന് ആണ് വിശ്വാസം ഖുര്ഹാനിൽ സ്വവർഗ രതി നാശത്തിന്റെ കവാടം ആണ്  ഇതിന്റെ പിന്നിൽ വലിയ പ്രശ്നങ്ങൾ അടങ്ങിയിരിക്കുന്നു.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ."
നിനക്കൊക്കെ ചത്തൂടെ മൈരേ ആണിനെ വ്യഭിചരിക്കുന്ന ആണുങ്ങൾ അയ്യേ  Ithu okke kandal manassil thonniya oru negative vibe aanu.,Homophobic-Derogation,Ellavarkkum thante life choose cheyyan full right undu. ithine kurichu namukku serious aayi chinthikkam.
Podaa njaramba penn azhichitt kandal eeth aaninum pongum oru aanine kanditt pongunnath enthaada  ഈ നിലപാട് സാംസ്കാരിക മൂല്യങ്ങൾക്കെതിരെ പോകുന്നു.,Homophobic-Derogation,അവരുമായി സഹവാസം നമുക്ക് നല്ലൊരു സമൂഹം സൃഷ്ടിക്കാനാണ് വഴി. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്.
ആണ് പെണ്ണിനെ പിടിക്കുന്ന പോലെ ആണോ ആണ് ആണിനെ പിടിക്കുന്നത്  Ee pole chinthakal oralkku vishamavum pediyum aakum.,Homophobic-Derogation,Namukku ella verum oru manushyan aanu ennathil ninnu kaananam. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
ട്രെയിനിലും ബസിലും ഒക്കെ വന്നു വെറുപ്പിക്കുന്നത് കൊണ്ടാണ് ഇവരെ ഭൂരിഭാഗം ആളുകളും ഇഷ്ടപ്പെടാത്തത്  നമുക്ക് ഇങ്ങനെയുള്ള പ്രവൃത്തികൾ സഹിക്കാനാവില്ല.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. ithine kurichu namukku serious aayi chinthikkam."
Changayimare vallaatha vishamund e nanam ketta paripadi kandittuente abiprayam Petta thanthakum thallakum ethravishamam undakumeniku thonunilla ningalde parents accept cheyumennu Loka avasanam ayienthayalum Nanamketta paripadiyayai Bros  Ithu okke kandal manassil thonniya oru negative vibe aanu.,Homophobic-Derogation,Namukku ella verum oru manushyan aanu ennathil ninnu kaananam. ithine kurichu namukku serious aayi chinthikkam.
Ee myranmare kollanam  ഇത് സമൂഹത്തിൽ വലിയ അസ്ഥിരത സൃഷ്ടിക്കുന്നു.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ.
നിങ്ങൾ ഗേ ആയതുകൊണ്ടാണോ അതിനെ സപ്പോർട്ട് ചെയ്യുന്നത്  Ee pole chinthakal oralkku vishamavum pediyum aakum.,Homophobic-Derogation,"Oru personinte swabhavangal orupadu kaaryam parayunnu, ath respect cheyyanam. ithaanu oru responsible approach."
ആ പ്രകൃതി മാറ്റിമറിക്കാന്‍ മനുഷ്യന് അവകാശമില്ല മൃഗങ്ങള്‍ പോലും ഈ പ്രകൃതിനിയമത്തെ അനുസരിച്ചാണ് ജീവിക്കുന്നത് കാമപൂർത്തീകരണത്തിന്എന്ത്മാര്‍ഗവും സ്വീകരീക്കാം എന്ന വൃത്തികെട്ട ആശയം വച്ചുപുലര്‍ത്തുന്നവരാണിവര്‍. മനുഷ്യവര്‍ഗത്തിന് തന്നെ നാണക്കേടും ഭീഷണിയുമാണിവര്‍. നീയൊക്കെ ഇന്ത്യാരാജ്യത്ത് ജനിച്ചതു നിന്റെയൊക്കെ ഭാഗ്യംഇവിടെയിപ്പോള്‍ എന്ത് വൃത്തികേടുകള്‍ക്കും നിയമത്തിന്റെ സപ്പോര്‍ട്ടുണ്ടല്ലോ  ഇതിന്റെ പിന്നിൽ വലിയ പ്രശ്നങ്ങൾ അടങ്ങിയിരിക്കുന്നു.,Homophobic-Derogation,ഒരു വ്യക്തിയെയും അവന്റെ ഇഷ്ടങ്ങൾ കൊണ്ടു കളിയാക്കുന്നത് ശരിയല്ല. ithine kurichu namukku serious aayi chinthikkam.
Chathoodeda aanum pennum ketta Polayadi makkale  Ithu okke kandal manassil thonniya oru negative vibe aanu.,Homophobic-Derogation,Understanding and respect mathram aanu nalla society undakunna vazhi. ithine kurichu namukku serious aayi chinthikkam.
മീശേം താടിയും വളർത്തിട്ട് കാര്യം ഇല്ലാ ആണുങ്ങളെ പോലെ ജീവിക്കാഡോ ആണുങ്ങളുടെ വില കളയാൻ ആയിട്ട് ഇറങ്ങിക്കോളും  നമുക്ക് ഇങ്ങനെയുള്ള പ്രവൃത്തികൾ സഹിക്കാനാവില്ല.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ.
എനിക്ക് ട്രാൻസ്‍ജൻഡർ ഫോബിയ ഉണ്ട്അവരെ കണ്ടാൽ ഓടും ഞാൻകാരണം അറിയില്ല ബോംബയിൽ ട്രെയിൻ പോയവർക്ക് മനസ്സിലാവും  Ee kaaryangal manushyane pole parayunnathalla.,Homophobic-Derogation,"Pakshe, ithu pole chinthakal namukku oru samadhanam tharumenn thonnunnilla. ithaanu oru responsible approach."
ഇത് ഒരു വൈകല്യം ആണ് അവർ ജീവിക്കട്ടെ അവർക്ക് ഭയം ആണ് ഞൻ ആണായിട്ടില്ലേ അല്ലങ്കിൽ പെണ്ണ് ആയിട്ടില്ലേ എന്നുള്ള അത് ഉറപ്പിക്കാൻ വേണ്ടിയാണ് ഈ വെച്ച് കെട്ടൽ അത് സാദാരണക്കാർക്ക് അത് അലോഷകരമായി തോന്നും  ഈ നിലപാട് സാംസ്കാരിക മൂല്യങ്ങൾക്കെതിരെ പോകുന്നു.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. ithine kurichu namukku serious aayi chinthikkam."
ഇതൊക്കെ സിനിമേൽ കൊള്ളാം റിയൽ ലൈഫിൽ ഇതൊക്കെ പ്രെകൃതി വിരുദ്ധം ആണ് സ്വവർഗരതി കുടുംബത്തിൽ കയറ്റാവുന്ന സംസ്കാരം അല്ല  Ee pole chinthakal oralkku vishamavum pediyum aakum.,Homophobic-Derogation,"Oru personinte swabhavangal orupadu kaaryam parayunnu, ath respect cheyyanam. ithine kurichu namukku serious aayi chinthikkam."
ഇതൊക്കെ എന്താണ് ഒന്നുകിൽ ആണായി ജീവിക്കുക അല്ലേൽ പെണ്ണായി ജീവിക്കുക നിങ്ങളിൽ ഭൂരിപക്ഷം ഉള്ള അവയവം ഏത് വിഭാഗത്തിന്റെയാണോ നിങ്ങൾ അവരോടോപ്പോം നിൽക്കൂ നിങ്ങൾ സ്വയം ഒറ്റപ്പെടുകയാണ് എന്ന് നിങ്ങൾ മനസ്സിലാക്കൂ  നമുക്ക് ഇങ്ങനെയുള്ള പ്രവൃത്തികൾ സഹിക്കാനാവില്ല.,Homophobic-Derogation,ഒരു വ്യക്തിയെയും അവന്റെ ഇഷ്ടങ്ങൾ കൊണ്ടു കളിയാക്കുന്നത് ശരിയല്ല. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്.
Innathe kaaalath athonnum nokilla kundan adikkandavarkk kundan adikkaaam Athokke avarude mind  Ee mathiri nadappukal society ne hurt cheyyunnu.,Homophobic-Derogation,Namukku ella verum oru manushyan aanu ennathil ninnu kaananam. ithaanu oru responsible approach.
kundanmaarku enthum aakalo  ഇത് സമൂഹത്തിൽ വലിയ അസ്ഥിരത സൃഷ്ടിക്കുന്നു.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ."
ഇന്ന് ആണ്കുട്ടികളും സുരക്ഷിതർ ഒന്നും അല്ലെടോ  Ee mathiri nadappukal society ne hurt cheyyunnu.,Homophobic-Derogation,Understanding and respect mathram aanu nalla society undakunna vazhi. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ.
പുരുഷൻ മാർ ഇങ്ങനെ പുരുഷൻ മാരെ തന്നെ കല്യാണം കഴിച്ചാൽ നമ്മുടെ കേരളത്തിലെ സ്ത്രീകളെ ആരു കല്യാണം കഴിക്കും അതുകൊണ്ട് സഹോദരിമാരെ നിങ്ങൾ ആരും ഈ തോന്നിവാസത്തിനു സപ്പോർട്ട് ചെയ്യരുതേ കാരണം ഇത് ഒരു തരം പ്രാന്ത് ആണ് സൈക്യാട്രിസ്റ്റിനെ കണ്ടു ചികിത്സയാണ് ഇതിനു വേണ്ടത്  ഇതിന്റെ പിന്നിൽ വലിയ പ്രശ്നങ്ങൾ അടങ്ങിയിരിക്കുന്നു.,Homophobic-Derogation,മനുഷ്യരെ മനസ്സിലാക്കാനും മാന്യമായി സമീപിക്കാനും നമ്മളെല്ലാവർക്കും ബാധ്യതയുണ്ട്. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്.
Enthoru pekolangal aaaan  Ee pole chinthakal oralkku vishamavum pediyum aakum.,Homophobic-Derogation,Namukku ella verum oru manushyan aanu ennathil ninnu kaananam. ithaanu oru responsible approach.
ഇതൊക്കെ എന്താണ് ഒന്നുകിൽ ആണായി ജീവിക്കുക അല്ലേൽ പെണ്ണായി ജീവിക്കുക നിങ്ങളിൽ ഭൂരിപക്ഷം ഉള്ള അവയവം ഏത് വിഭാഗത്തിന്റെയാണോ നിങ്ങൾ അവരോടോപ്പോം നിൽക്കൂ നിങ്ങൾ സ്വയം ഒറ്റപ്പെടുകയാണ് എന്ന് നിങ്ങൾ മനസ്സിലാക്കൂ  ഈ നിലപാട് സാംസ്കാരിക മൂല്യങ്ങൾക്കെതിരെ പോകുന്നു.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്.
Changayimare vallaatha vishamund e nanam ketta paripadi kandittuente abiprayam Petta thanthakum thallakum ethravishamam undakumeniku thonunilla ningalde parents accept cheyumennu Loka avasanam ayienthayalum Nanamketta paripadiyayai Bros  Ee kaaryangal manushyane pole parayunnathalla.,Homophobic-Derogation,"Pakshe, ithu pole chinthakal namukku oru samadhanam tharumenn thonnunnilla. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ."
വന്നു വന്നു ഇനി കേരളത്തിൽ ആണുങ്ങളെ പീഡിപ്പിക്കുന്ന കാലം വരും ദൈവമേ എന്റെ കുണ്ടിയെ കാത്തോളണെ  ഈ നിലപാട് സാംസ്കാരിക മൂല്യങ്ങൾക്കെതിരെ പോകുന്നു.,Homophobic-Derogation,ഒരു വ്യക്തിയെയും അവന്റെ ഇഷ്ടങ്ങൾ കൊണ്ടു കളിയാക്കുന്നത് ശരിയല്ല. ithaanu oru responsible approach.
